Unit Type,Number,DATE,Situation,Type_D,Weight_D,Weight_ND,Type_ND,CU_KIND,Fraction_Division,ORIG_FID,POINT_X,POINT_Y
CavDiv,1,7/11/1941 0:00,0,CAV,2,,,1,,1098,29.03119322,53.09195799
CavDiv,1,7/12/1941 0:00,0,CAV,2,,,1,,359,30.09022582,53.13978157
CavDiv,1,7/12/1941 0:00,0,CAV,2,,,1,,434,30.05604017,53.53534983
CavDiv,1,7/13/1941 0:00,0,CAV,2,,,1,,338,29.82922679,53.4213934
CavDiv,1,7/15/1941 0:00,1,CAV,2,,,1,,255,30.42951875,53.36656275
CavDiv,1,7/16/1941 0:00,0,CAV,2,,,1,,382,30.42579667,53.45181768
CavDiv,1,7/17/1941 0:00,0,CAV,2,,,1,,93,30.46385959,53.43047145
CavDiv,1,7/19/1941 0:00,0,CAV,2,,,1,,396,30.50370821,53.35496072
CavDiv,1,7/20/1941 0:00,0,CAV,2,,,1,,169,30.5074277,53.3869162
CavDiv,1,7/22/1941 0:00,1,CAV,2,,<Null>,1,,273,30.49858851,53.33405164
CavDiv,1,7/24/1941 0:00,0,CAV,2,,,1,,72,30.4796808,53.28983986
CavDiv,1,7/26/1941 0:00,0,CAV,2,,,1,,412,30.46896129,53.29052894
CavDiv,1,7/27/1941 0:00,1,CAV,2,,,1,,184,30.51943953,53.28758372
CavDiv,1,7/29/1941 0:00,1,CAV,,1,FWD DET,0,,429,30.43652832,53.28140926
CavDiv,1,7/29/1941 0:00,0,CAV,,1,FWD DET,0,,430,30.44093811,53.40084829
CavDiv,1,7/29/1941 0:00,0,CAV,,1,FWD DET,0,,446,30.46408042,53.55679237
CavDiv,1,7/30/1941 0:00,0,CAV,2,,,1,,387,30.49103251,53.56034669
CavDiv,1,8/1/1941 0:00,0,CAV,2,,,1,,2,30.48685805,53.59526039
CavDiv,1,8/2/1941 0:00,0,CAV,2,,,1,,431,30.4671179,53.58058784
CavDiv,1,8/4/1941 0:00,0,CAV,2,,,1,,351,30.46878576,53.58854216
CavDiv,1,8/6/1941 0:00,0,CAV,2,,,1,,392,30.74839615,53.41952129
CavDiv,1,8/10/1941 0:00,0,CAV,2,,,1,,313,30.84524359,53.6119539
CavDiv,1,8/12/1941 0:00,0,CAV,2,,,1,,518,30.67989245,53.52115297
CavDiv,1,7/17/1941 0:00,0,CAV,,1,FWD DET,0,,94,30.40806591,53.71756844
CavDiv,1,7/30/1941 0:00,0,CAV,,1,FWD DET,0,,284,30.45710783,53.28571123
Mot ID,14,8/12/1941 0:00,0,MOT,,2,Masse,0,,400,32.10624872,53.53206751
Mot ID,10,7/11/1941 0:00,0,MOT,4,,,1,,242,30.35502657,53.71807012
Mot ID,10,7/12/1941 0:00,1,MOT,4,,,1,,361,30.41698659,53.71621236
Mot ID,10,7/12/1941 0:00,1,MOT,4,,,1,,368,30.55654246,54.17666019
Mot ID,10,7/13/1941 0:00,1,MOT,4,,,1,,143,30.54626705,53.69456809
Mot ID,10,7/15/1941 0:00,1,MOT,4,,,1,,258,30.61827754,53.67232032
Mot ID,10,7/16/1941 0:00,0,MOT,4,,,1,,383,30.384342,53.77383004
Mot ID,10,7/19/1941 0:00,0,MOT,4,,,1,,397,30.89828371,53.43506717
Mot ID,10,7/20/1941 0:00,0,MOT,4,,,1,,170,30.83152646,53.46510793
Mot ID,10,7/22/1941 0:00,0,MOT,4,,,1,,274,30.89075548,53.41222009
Mot ID,10,7/24/1941 0:00,0,MOT,4,,,1,,73,30.9946668,53.42462858
Mot ID,10,7/26/1941 0:00,0,MOT,4,,,1,,443,31.13587003,53.51997042
Mot ID,10,7/27/1941 0:00,1,MOT,4,,,1,,185,31.37412509,53.63093562
Mot ID,10,7/27/1941 0:00,0,MOT,4,,,1,,495,32.10449991,54.29218929
Mot ID,10,7/29/1941 0:00,0,MOT,4,,,1,,448,32.03513838,54.25000045
Mot ID,10,7/30/1941 0:00,0,MOT,4,,,1,,286,32.07816822,54.24087985
Mot ID,10,8/1/1941 0:00,0,MOT,4,,,1,,328,32.08975412,54.23668049
Mot ID,10,8/2/1941 0:00,0,MOT,4,,,1,,432,32.04969982,54.21528558
Mot ID,10,8/4/1941 0:00,0,MOT,,1,FWD DET,0,3-Jan,202,32.39239337,53.75449203
Mot ID,10,8/4/1941 0:00,1,MOT,,2,FWD DET,0,3-Feb,204,32.10461015,54.18600413
Mot ID,10,8/6/1941 0:00,0,MOT,,1,FWD DET,0,3-Jan,300,32.37611371,53.75261135
Mot ID,10,8/6/1941 0:00,0,MOT,4,,,1,,394,32.29515786,53.90618822
Mot ID,10,8/10/1941 0:00,1,MOT,4,,,1,,65,32.24486469,53.67879911
Mot ID,10,8/12/1941 0:00,0,MOT,4,,,1,,314,32.33675467,53.61289364
Mot ID,10,8/14/1941 0:00,0,MOT,4,,,1,,364,32.11554654,53.63735744
Mot ID,10,8/18/1941 0:00,0,MOT,4,,,1,,125,32.09689953,53.24203157
Mot ID,10,8/18/1941 0:00,1,MOT,4,,,1,,128,32.39406329,53.00302577
Mot ID,10,8/21/1941 0:00,0,MOT,4,,,1,,365,32.31547034,52.8965838
Mot ID,10,8/23/1941 0:00,0,MOT,4,,,1,,418,32.3218238,52.88984215
Mot ID,14,7/11/1941 0:00,1,MOT,4,,,1,,233,29.41542536,55.31148322
Mot ID,14,7/11/1941 0:00,0,MOT,,1,FWD DET,0,2-Jan,236,28.62865715,55.65790691
Mot ID,14,7/12/1941 0:00,0,MOT,,1,FWD DET,0,2-Jan,372,28.32454441,55.76359712
Mot ID,14,7/12/1941 0:00,0,MOT,4,,,1,,435,29.97902536,55.45079897
Mot ID,14,7/15/1941 0:00,0,MOT,,1,FWD DET,0,2-Jan,254,29.83195125,55.5278373
Mot ID,14,7/16/1941 0:00,0,MOT,,1,FWD DET,0,2-Jan,393,30.05077249,55.53068799
Mot ID,14,7/17/1941 0:00,1,MOT,,1,FWD DET,0,2-Jan,106,30.57098916,55.65427681
Mot ID,14,7/19/1941 0:00,0,MOT,4,,,1,,401,29.81201162,56.02110513
Mot ID,14,7/20/1941 0:00,0,MOT,4,,,1,,168,30.48258403,55.92589301
Mot ID,14,7/22/1941 0:00,0,MOT,4,,,1,,380,29.92248038,56.05466001
Mot ID,14,7/26/1941 0:00,1,MOT,4,,,1,,428,31.84299431,55.98540264
Mot ID,14,7/27/1941 0:00,1,MOT,4,,,1,,199,32.04404916,55.83413011
Mot ID,14,7/27/1941 0:00,0,MOT,4,,,1,,200,31.79690113,56.0142848
Mot ID,14,7/29/1941 0:00,1,MOT,4,,,1,,439,31.78156369,56.00403258
Mot ID,14,7/30/1941 0:00,1,MOT,4,,,1,,299,31.84495233,56.01810466
Mot ID,14,8/1/1941 0:00,0,MOT,4,,,1,,111,31.84613411,56.04707815
Mot ID,14,8/2/1941 0:00,0,MOT,4,,,1,,357,31.79948562,56.02354769
Mot ID,14,8/4/1941 0:00,1,MOT,4,,,1,,213,31.33492209,55.7057029
Mot ID,14,8/6/1941 0:00,1,MOT,4,,,1,,312,31.34264499,55.70561135
Mot ID,14,8/10/1941 0:00,1,MOT,,2,Masse,0,,69,31.34674258,55.7084025
Mot ID,14,8/10/1941 0:00,0,MOT,,1,Elems,0,,70,31.39975019,56.03275404
Mot ID,14,8/12/1941 0:00,1,MOT,,2,Masse,0,,320,31.34008456,55.71675662
Mot ID,14,8/18/1941 0:00,0,MOT,4,,,1,,334,31.33544178,55.69775455
Mot ID,14,8/20/1941 0:00,0,MOT,4,,,1,,300,32.22665937,55.21816981
Mot ID,14,8/20/1941 0:00,0,MOT,4,,,1,,301,31.35176059,55.69447023
